x_gaze,y_gaze,validity_gaze,timestamp_us_gaze,unix_time_ms_gaze,left_pupil_diameter_millimeters,left_pupil_validity,right_pupil_diameter_millimeters,right_pupil_validity,left_eye_x_gaze,left_eye_y_gaze,left_eye_validity_gaze,right_eye_x_gaze,right_eye_y_gaze,right_eye_validity_gaze
945.0613689422607,556.5776610374451,valid,20075360408,1629991261468,3.202239990234375,1,3.3120574951171875,1,967.1270370483398,538.6633586883545,1,922.9957008361816,574.4919633865356,1
945.2688217163086,554.489883184433,valid,20075377062,1629991261485,3.20458984375,1,3.3153076171875,1,972.5782012939453,537.1516227722168,1,917.9594421386719,571.8281435966492,1
946.0901069641113,547.6329660415649,valid,20075393717,1629991261501,3.204071044921875,1,3.3185882568359375,1,969.8818588256836,537.4329972267151,1,922.2983551025391,557.8329348564148,1
943.879508972168,551.0402297973633,valid,20075410372,1629991261519,3.2095794677734375,1,3.3198699951171875,1,962.2000122070312,545.6455779075623,1,925.5590057373047,556.4348816871643,1
946.7852210998535,554.0428125858307,valid,20075427026,1629991261535,3.2169647216796875,1,3.3259735107421875,1,965.2548980712891,543.553261756897,1,928.315544128418,564.5323634147644,1
954.7661590576172,550.443668961525,valid,20075443681,1629991261552,3.2214202880859375,1,3.332427978515625,1,969.4909286499023,535.8804166316986,1,940.041389465332,565.0069212913513,1
979.5277976989746,554.7006243467331,valid,20075460336,1629991261568,3.2248382568359375,1,3.33782958984375,1,990.4245758056641,538.0107128620148,1,968.6310195922852,571.3905358314514,1
999.4473266601562,560.5785083770752,valid,20075476990,1629991261586,3.23199462890625,1,3.3521575927734375,1,1013.4611892700195,545.5475378036499,1,985.433464050293,575.6094789505005,1
1001.2200736999512,564.0754437446594,valid,20075493645,1629991261601,3.2444610595703125,1,3.358642578125,1,1017.1300506591797,551.70494556427,1,985.3100967407227,576.4459419250488,1
998.8614463806152,557.6115238666534,valid,20075510300,1629991261619,3.246337890625,1,3.3540191650390625,1,1016.3519668579102,543.4890174865723,1,981.3709259033203,571.7340302467346,1
1004.7007369995117,558.846777677536,valid,20075526954,1629991261635,3.2539825439453125,1,3.359375,1,1020.8843994140625,547.12886095047,1,988.5170745849609,570.564694404602,1
1002.3140144348145,567.2477459907532,valid,20075543609,1629991261652,3.2641448974609375,1,3.3657684326171875,1,1019.5430374145508,555.4713463783264,1,985.0849914550781,579.0241456031799,1
994.6706771850586,557.8501868247986,valid,20075560264,1629991261675,3.262054443359375,1,3.3731231689453125,1,1011.1079406738281,543.4099674224854,1,978.2334136962891,572.2904062271118,1
997.1376800537109,552.2610157728195,valid,20075576918,1629991261686,3.2606658935546875,1,3.36962890625,1,1015.422477722168,538.9902770519257,1,978.8528823852539,565.5317544937134,1
1001.9183349609375,553.015370965004,valid,20075593573,1629991261702,3.25775146484375,1,3.3621063232421875,1,1022.8971862792969,537.2518193721771,1,980.9394836425781,568.7789225578308,1
998.3077239990234,554.2696791887283,valid,20075610228,1629991261719,3.2606353759765625,1,3.3689117431640625,1,1016.4697265625,539.1866791248322,1,980.1457214355469,569.3526792526245,1
996.298713684082,556.3865697383881,valid,20075626883,1629991261735,3.263702392578125,1,3.3744049072265625,1,1013.3396530151367,541.6078448295593,1,979.2577743530273,571.1652946472168,1
999.433536529541,557.3857355117798,valid,20075643537,1629991261753,3.262451171875,1,3.3601531982421875,1,1019.9550247192383,543.4382915496826,1,978.9120483398438,571.333179473877,1
996.6822052001953,557.447919845581,valid,20075660192,1629991261769,3.2608642578125,1,3.351654052734375,1,1017.366828918457,546.1719560623169,1,975.9975814819336,568.7238836288452,1
998.4175300598145,554.9929904937744,valid,20075676847,1629991261786,3.2530059814453125,1,3.35174560546875,1,1016.1387634277344,544.1852760314941,1,980.6962966918945,565.8007049560547,1
